RUN	myfirstpackage.SetUpUserLoadOpenSystem	setupuserloadopensystem	1549514469142	 	3.0.2
USER	SE2	290	START	1549514568159	1549514568159
USER	SE1	289	START	1549514568159	1549514568159
USER	SE1	291	START	1549514568663	1549514568663
USER	SE1	292	START	1549514569161	1549514569161
USER	SE2	293	START	1549514569161	1549514569161
REQUEST	168		Homepage	1549514527663	1549514569273	OK	 
REQUEST	198		Homepage	1549514537663	1549514569273	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	181		Homepage	1549514532163	1549514569454	OK	 
USER	SE1	294	START	1549514569661	1549514569661
REQUEST	199		Homepage	1549514538173	1549514569850	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	192		Homepage	1549514535660	1549514570144	OK	 
USER	SE1	295	START	1549514570163	1549514570163
USER	SE2	296	START	1549514570163	1549514570163
USER	SE1	297	START	1549514570650	1549514570650
USER	SE2	299	START	1549514571148	1549514571148
USER	SE1	298	START	1549514571148	1549514571148
REQUEST	204		Homepage	1549514539662	1549514571341	OK	 
USER	SE1	300	START	1549514571664	1549514571664
REQUEST	6		SearchFlight	1549514532893	1549514571850	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
USER	SE1	301	START	1549514572164	1549514572164
USER	SE2	302	START	1549514572164	1549514572164
REQUEST	213		Homepage	1549514542662	1549514572307	OK	 
REQUEST	196		Homepage	1549514537159	1549514572421	OK	 
USER	SE1	303	START	1549514572659	1549514572659
REQUEST	190		Homepage	1549514535149	1549514572905	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	207		Homepage	1549514540661	1549514572915	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	305	START	1549514573162	1549514573162
USER	SE1	304	START	1549514573162	1549514573162
USER	SE1	306	START	1549514573662	1549514573662
USER	SE1	307	START	1549514574161	1549514574161
USER	SE2	308	START	1549514574161	1549514574161
REQUEST	9		SearchFlight	1549514536070	1549514574431	OK	 
USER	SE1	309	START	1549514574663	1549514574663
USER	SE1	310	START	1549514575162	1549514575162
USER	SE2	311	START	1549514575162	1549514575162
REQUEST	173		Homepage	1549514529162	1549514575313	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	312	START	1549514575658	1549514575658
REQUEST	187		Homepage	1549514534163	1549514575989	OK	 
REQUEST	205		Homepage	1549514540162	1549514576010	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	314	START	1549514576162	1549514576162
USER	SE1	313	START	1549514576162	1549514576162
REQUEST	197		Homepage	1549514537159	1549514576287	OK	 
REQUEST	217		Homepage	1549514544162	1549514576434	OK	 
USER	SE1	315	START	1549514576664	1549514576664
REQUEST	218		Homepage	1549514544162	1549514576748	OK	 
REQUEST	216		Homepage	1549514543659	1549514577012	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	317	START	1549514577160	1549514577160
USER	SE1	316	START	1549514577160	1549514577160
USER	SE1	318	START	1549514577661	1549514577661
